127.0.0.1 - - [08/Jul/2025:11:00:37 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [08/Jul/2025:11:00:40 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [08/Jul/2025:11:00:42 +0530] "GET /Computer_Spare_Part_Management/Home.jsp HTTP/1.1" 200 15314
0:0:0:0:0:0:0:1 - - [08/Jul/2025:11:00:42 +0530] "GET /Computer_Spare_Part_Management/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2025:11:00:42 +0530] "GET /Computer_Spare_Part_Management/images/inventory.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2025:11:00:42 +0530] "GET /Computer_Spare_Part_Management/images/sales.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2025:11:00:42 +0530] "GET /Computer_Spare_Part_Management/images/code.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2025:11:00:42 +0530] "GET /Computer_Spare_Part_Management/images/supplier.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2025:11:00:42 +0530] "GET /Computer_Spare_Part_Management/images/security.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2025:11:00:42 +0530] "GET /Computer_Spare_Part_Management/images/motherboard.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2025:11:00:59 +0530] "GET /Computer_Spare_Part_Management/Home.jsp HTTP/1.1" 200 15314
0:0:0:0:0:0:0:1 - - [08/Jul/2025:11:00:59 +0530] "GET /Computer_Spare_Part_Management/images/inventory.png HTTP/1.1" 200 21872
0:0:0:0:0:0:0:1 - - [08/Jul/2025:11:00:59 +0530] "GET /Computer_Spare_Part_Management/images/supplier.png HTTP/1.1" 200 11230
0:0:0:0:0:0:0:1 - - [08/Jul/2025:11:00:59 +0530] "GET /Computer_Spare_Part_Management/images/logo.png HTTP/1.1" 200 51219
0:0:0:0:0:0:0:1 - - [08/Jul/2025:11:00:59 +0530] "GET /Computer_Spare_Part_Management/images/security.png HTTP/1.1" 200 15590
0:0:0:0:0:0:0:1 - - [08/Jul/2025:11:00:59 +0530] "GET /Computer_Spare_Part_Management/images/sales.png HTTP/1.1" 200 12000
0:0:0:0:0:0:0:1 - - [08/Jul/2025:11:00:59 +0530] "GET /Computer_Spare_Part_Management/images/motherboard.jpeg HTTP/1.1" 200 18282
0:0:0:0:0:0:0:1 - - [08/Jul/2025:11:00:59 +0530] "GET /Computer_Spare_Part_Management/images/code.jpeg HTTP/1.1" 200 12297
0:0:0:0:0:0:0:1 - - [08/Jul/2025:11:00:59 +0530] "GET /favicon.ico HTTP/1.1" 404 763
